Angelia Crumpler 1980 forward as Yes
Morgan Schumacher 1981 back 87998901 Yes
Fausto Horta 1982 mid 87998902 Yes
Lino Mckelvey 1983 forward 87998903 Yes
Lesia Sargent 1984 back 87998904 Yes
Sharen Lima 1985 mid 87998905 Yes
Renita Vance 1986 forward 87998906 Sub
Chara Hemsley 1987 back 87998907 Yes
Chet Cluff 1988 mid 87998908 Yes
Luciana Sholtis 1989 forward 87998909 Sub
Mercedes Aurand 1990 back 87998910 Yes
Ileana Simmonds 1991 mid 87998911 Yes
Jewell Stephens 1992 forward 87998912 Sub
Gina Isaacson 1993 back 87998913 Sub
Hermelinda Higa 1994 mid 87998914 Sub
Fredda Vrba 1995 forward 87998915 No
Jaquelyn Fizer 1996 back 87998916 No
Fe Jonason 1997 mid 87998917 No
Fredda Vrba 1998 forward 87998918 No
Jaquelyn Fizer 1999 back 87998919 No
Fe Jonason 2000 mid 87998920 No
Fredda Vrba 2001 forward 87998921 No
Jaquelyn Fizer 2002 Goalie 87998922 Yes
